restaurant_name,address,review,star_rating
Taco Fiesta,"987 Pine Rd, Austin, TX 78701","The breakfast tacos here are legendary. Perfectly scrambled eggs with chorizo and fresh pico. I come here every Saturday morning.",5
Taco Fiesta,"987 Pine Rd, Austin, TX 78701","Fast service and cheap prices. The quality is surprisingly good for how affordable it is. The horchata is refreshing.",4
Taco Fiesta,"987 Pine Rd, Austin, TX 78701","Found a piece of plastic in my burrito. Showed the staff and they just shrugged. Unacceptable and unsanitary.",1
Taco Fiesta,"987 Pine Rd, Austin, TX 78701","The fish tacos are the best in Austin. Crispy battered cod with a tangy slaw and chipotle crema. Perfection.",5
Taco Fiesta,"987 Pine Rd, Austin, TX 78701","Good tacos but the restaurant itself is dirty. Sticky tables and floors that haven't been mopped in days.",2
Taco Fiesta,"987 Pine Rd, Austin, TX 78701","Their queso is addictive. I literally dream about it. The chips are always fresh and warm. Simple but perfect.",4
Taco Fiesta,"987 Pine Rd, Austin, TX 78701","Ordered the combo platter for the family and everyone was happy. Kids loved the quesadillas and I devoured the enchiladas.",4
Taco Fiesta,"987 Pine Rd, Austin, TX 78701","The margaritas here are dangerously good. Strong and fresh with real lime juice. The food is solid too.",4
Taco Fiesta,"987 Pine Rd, Austin, TX 78701","I'm from Mexico City and this place reminds me of the taquerias back home. Authentic flavors and generous portions.",5
Dragon Palace,"147 Bamboo Way, Seattle, WA 98101","Mediocre Chinese food. The kung pao chicken was too sweet and the fried rice was bland.",2
Dragon Palace,"147 Bamboo Way, Seattle, WA 98101","The dim sum brunch on weekends is fantastic. The har gow and siu mai are made fresh and the variety is impressive.",5
Dragon Palace,"147 Bamboo Way, Seattle, WA 98101","Ordered takeout and half the order was wrong. Called to complain and they were rude about it. Lost a customer.",1
Dragon Palace,"147 Bamboo Way, Seattle, WA 98101","The Peking duck here is the real deal. Crispy skin carved tableside with all the traditional accompaniments. A must try.",5
Dragon Palace,"147 Bamboo Way, Seattle, WA 98101","Average Chinese American food. Nothing special but nothing terrible either. Good for a quick weeknight dinner.",3
Dragon Palace,"147 Bamboo Way, Seattle, WA 98101","The hot pot experience here is wonderful. Fresh ingredients and a rich flavorful broth. Great for groups.",4
Dragon Palace,"147 Bamboo Way, Seattle, WA 98101","Way too much MSG. I had a headache for hours after eating here. The food tasted artificial and overly salty.",1
Dragon Palace,"147 Bamboo Way, Seattle, WA 98101","Hidden gem in Seattle's Chinatown. The mapo tofu is fiery and authentic. The hand-pulled noodles are mesmerizing to watch.",5
Dragon Palace,"147 Bamboo Way, Seattle, WA 98101","Brought my Chinese grandmother here and she said it was almost as good as her cooking. High praise from her.",4
Dragon Palace,"147 Bamboo Way, Seattle, WA 98101","The lunch specials are a great deal. Generous portions with soup and an egg roll included. Fast service too.",4
Dragon Palace,"147 Bamboo Way, Seattle, WA 98101","Cockroach spotted near our table. We immediately left and reported it to the health department. Absolutely disgusting.",1
Dragon Palace,"147 Bamboo Way, Seattle, WA 98101","The xiao long bao here are perfect. Thin delicate wrappers filled with savory broth and pork. Addictive little dumplings.",5
Green Leaf Café,"693 Garden St, Denver, CO 80201","Wonderful vegan options that even meat lovers would enjoy. The jackfruit tacos were surprisingly delicious.",4
Green Leaf Café,"693 Garden St, Denver, CO 80201","As a lifelong carnivore I was skeptical but this place converted me. The mushroom burger was better than most beef burgers I've had.",5
Green Leaf Café,"693 Garden St, Denver, CO 80201","The food tastes like cardboard. Just because it's healthy doesn't mean it has to be flavorless. Very disappointed.",1
Green Leaf Café,"693 Garden St, Denver, CO 80201","Love the açaí bowls here. Fresh fruit and crunchy granola with a drizzle of honey. The perfect healthy breakfast.",4
Green Leaf Café,"693 Garden St, Denver, CO 80201","The smoothies are overpriced at $14 each. They're good but I can make the same thing at home for a fraction of the cost.",2
Green Leaf Café,"693 Garden St, Denver, CO 80201","This place is a sanctuary for people with dietary restrictions. Gluten-free dairy-free and nut-free options clearly labeled.",5
Green Leaf Café,"693 Garden St, Denver, CO 80201","The Buddha bowl was beautifully presented and tasted amazing. Quinoa roasted vegetables and a tahini dressing that was incredible.",5
Green Leaf Café,"693 Garden St, Denver, CO 80201","Tried the raw vegan cheesecake and it was shockingly good. Creamy and rich without any dairy. How do they do it?",4
Green Leaf Café,"693 Garden St, Denver, CO 80201","The staff is super knowledgeable about nutrition and ingredients. They helped me navigate the menu with my allergies. Much appreciated.",5
Green Leaf Café,"693 Garden St, Denver, CO 80201","Portions are tiny. I left hungry and had to stop for a burger on the way home. Not satisfying at all.",2
Green Leaf Café,"693 Garden St, Denver, CO 80201","The cold-pressed juices are fantastic. The green detox juice gave me so much energy. I buy one every morning now.",4
Green Leaf Café,"693 Garden St, Denver, CO 80201","Cute café with a great atmosphere. Lots of plants and natural light. The avocado toast is simple but perfectly executed.",4
Mama Rosa's Pizzeria,"369 Cedar Blvd, Philadelphia, PA 19101","Good New York style pizza but nothing extraordinary. The garlic knots were the highlight of the meal.",3
Mama Rosa's Pizzeria,"369 Cedar Blvd, Philadelphia, PA 19101","The best pizza in Philly and I will fight anyone who disagrees. The margherita is simple and perfect. Fresh basil and creamy mozzarella.",5
Mama Rosa's Pizzeria,"369 Cedar Blvd, Philadelphia, PA 19101","Soggy crust and barely any toppings. For $18 a pizza I expected a lot more. The delivery was also an hour late.",1
Mama Rosa's Pizzeria,"369 Cedar Blvd, Philadelphia, PA 19101","Been coming here since I was a kid. The recipe hasn't changed in 30 years and that's exactly how it should be.",5
Mama Rosa's Pizzeria,"369 Cedar Blvd, Philadelphia, PA 19101","The white pizza with ricotta and spinach is heavenly. Thin crispy crust with just the right amount of garlic.",5
Mama Rosa's Pizzeria,"369 Cedar Blvd, Philadelphia, PA 19101","Ordered a calzone and it was basically a folded pizza with barely any filling. Not worth the extra charge.",2
Mama Rosa's Pizzeria,"369 Cedar Blvd, Philadelphia, PA 19101","Friday night special of a large pie and a pitcher of beer for $25 is the best deal in the neighborhood.",4
Mama Rosa's Pizzeria,"369 Cedar Blvd, Philadelphia, PA 19101","The meatball sub is underrated here. Everyone talks about the pizza but the subs are equally amazing. Homemade meatballs.",4
Mama Rosa's Pizzeria,"369 Cedar Blvd, Philadelphia, PA 19101","Rosa herself still works the counter some days. Her warmth and personality make this place feel like home.",5
Mama Rosa's Pizzeria,"369 Cedar Blvd, Philadelphia, PA 19101","The pizza was burnt on the bottom and raw in the middle. Sent it back and the replacement was the same. Terrible.",1
Mama Rosa's Pizzeria,"369 Cedar Blvd, Philadelphia, PA 19101","Great late-night spot. Open until 2am on weekends and the pizza is just as good at midnight as it is at noon.",4
Mama Rosa's Pizzeria,"369 Cedar Blvd, Philadelphia, PA 19101","The Sicilian slice is thick and doughy in the best way possible. Loaded with sauce and cheese. Pure comfort food.",4
Spice Route,"471 Curry Ln, Houston, TX 77001","Incredible Indian cuisine with authentic spices. The butter chicken and naan bread were outstanding.",5
Spice Route,"471 Curry Ln, Houston, TX 77001","The buffet lunch is an amazing value. Endless options and everything is freshly made. The tikka masala is my go-to.",4
Spice Route,"471 Curry Ln, Houston, TX 77001","Way too spicy even when I asked for mild. My mouth was on fire and I couldn't taste anything else. Not enjoyable.",1
Spice Route,"471 Curry Ln, Houston, TX 77001","The biryani here is layered with flavor. Fragrant basmati rice with tender lamb and the perfect blend of spices. Incredible.",5
Spice Route,"471 Curry Ln, Houston, TX 77001","Good Indian food but the restaurant is in desperate need of renovation. The carpet is stained and the lighting is harsh.",3
Spice Route,"471 Curry Ln, Houston, TX 77001","The garlic naan fresh from the tandoor is addictive. I could eat a dozen of them. Fluffy and buttery perfection.",5
